participant,syllables,lexicality,rt,acc,
P2,3.0,1.0,0.5815,1.0,
P2,4.0,1.0,0.5647,1.0,
P2,3.0,1.0,0.5984,1.0,
P2,4.0,1.0,1.2537,1.0,
P2,3.0,1.0,0.6304,1.0,
P2,4.0,2.0,0.8123,1.0,
P2,4.0,2.0,0.5806,1.0,
P2,3.0,1.0,0.6137,1.0,
P2,4.0,2.0,0.5306,1.0,
P2,3.0,1.0,0.5653,1.0,
P2,3.0,2.0,0.5547,1.0,
P2,4.0,2.0,0.6806,1.0,
P2,4.0,2.0,0.4821,1.0,
P2,3.0,1.0,0.5827,1.0,
P2,4.0,1.0,0.5144,1.0,
P2,4.0,2.0,0.7477,1.0,
P2,3.0,2.0,0.44,1.0,
P2,3.0,1.0,0.4313,1.0,
P2,4.0,2.0,0.5147,1.0,
P2,4.0,1.0,0.567,1.0,
P2,4.0,1.0,0.638,1.0,
P2,4.0,1.0,0.4544,1.0,
P2,3.0,2.0,0.5187,1.0,
P2,3.0,1.0,0.5028,1.0,
P2,3.0,1.0,0.3817,1.0,
P2,3.0,1.0,0.5843,1.0,
P2,4.0,1.0,0.497,1.0,
P2,3.0,2.0,0.4956,1.0,
P2,3.0,1.0,0.4807,1.0,
P2,3.0,2.0,0.5305,1.0,
P2,4.0,2.0,0.5294,1.0,
P2,4.0,1.0,0.6151,1.0,
P2,3.0,1.0,0.6009,1.0,
P2,4.0,2.0,0.6012,1.0,
P2,3.0,1.0,0.5217,1.0,
P2,3.0,1.0,0.6119,1.0,
P2,4.0,2.0,0.448,1.0,
P2,4.0,2.0,0.6028,1.0,
P2,4.0,2.0,0.6211,0.0,
P2,3.0,2.0,0.5809,1.0,
P2,3.0,2.0,0.5974,1.0,
P2,4.0,1.0,0.3647,1.0,
P2,3.0,1.0,0.5324,1.0,
P2,3.0,1.0,0.4495,1.0,
P2,3.0,1.0,0.4549,1.0,
P2,4.0,2.0,0.6315,1.0,
P2,4.0,1.0,0.501,1.0,
P2,4.0,2.0,0.6137,1.0,
P2,4.0,2.0,0.6279,1.0,
P2,3.0,2.0,0.5316,1.0,
P2,3.0,2.0,0.4822,1.0,
P2,3.0,1.0,0.504,1.0,
P2,3.0,1.0,0.6977,0.0,
P2,4.0,2.0,0.6633,1.0,
P2,4.0,2.0,0.5114,1.0,
P2,3.0,1.0,0.7476,1.0,
P2,4.0,2.0,0.5481,1.0,
P2,3.0,2.0,0.3997,1.0,
P2,4.0,2.0,0.4655,1.0,
P2,4.0,2.0,0.4989,1.0,
P2,3.0,2.0,0.7635,1.0,
P2,4.0,1.0,0.8696,1.0,
P2,3.0,2.0,0.5484,1.0,
P2,3.0,2.0,0.6673,1.0,
P2,3.0,1.0,0.5471,1.0,
P2,3.0,2.0,0.5341,1.0,
P2,4.0,1.0,0.4987,1.0,
P2,4.0,2.0,0.4641,1.0,
P2,4.0,2.0,0.598,1.0,
P2,3.0,1.0,0.5476,1.0,
P2,3.0,2.0,0.6636,1.0,
P2,4.0,1.0,0.553,1.0,
P2,4.0,2.0,0.5371,1.0,
P2,4.0,1.0,0.5314,1.0,
P2,4.0,1.0,0.4981,0.0,
P2,4.0,1.0,0.9498,1.0,
P2,4.0,1.0,0.4824,1.0,
P2,4.0,2.0,0.4506,0.0,
P2,4.0,2.0,0.5546,1.0,
P2,3.0,2.0,0.5161,1.0,
P2,4.0,1.0,0.5321,1.0,
P2,3.0,1.0,0.4144,1.0,
P2,4.0,2.0,0.5118,1.0,
P2,4.0,1.0,0.6335,1.0,
P2,4.0,1.0,0.3818,1.0,
P2,4.0,2.0,0.471,1.0,
P2,3.0,1.0,0.7721,1.0,
P2,3.0,1.0,0.4829,1.0,
P2,4.0,1.0,0.3686,1.0,
P2,3.0,2.0,0.4856,1.0,
P2,4.0,2.0,0.5799,1.0,
P2,3.0,1.0,0.5376,1.0,
P2,4.0,1.0,0.4975,1.0,
P2,3.0,2.0,0.5842,1.0,
P2,4.0,1.0,0.5166,1.0,
P2,3.0,2.0,0.516,1.0,
P2,4.0,2.0,0.4849,1.0,
P2,3.0,2.0,0.6638,1.0,
P2,4.0,1.0,0.4646,1.0,
P2,4.0,1.0,0.5165,1.0,
P2,3.0,1.0,0.4647,1.0,
P2,4.0,1.0,0.3975,1.0,
P2,4.0,1.0,0.432,1.0,
P2,4.0,2.0,0.5441,1.0,
P2,4.0,2.0,0.4376,1.0,
P2,3.0,2.0,0.547,1.0,
P2,3.0,1.0,0.4813,1.0,
P2,4.0,1.0,0.5982,1.0,
P2,3.0,2.0,0.5325,1.0,
P2,3.0,2.0,0.6143,1.0,
P2,3.0,1.0,0.5059,1.0,
P2,3.0,2.0,0.5135,1.0,
P2,4.0,2.0,0.7337,1.0,
P2,4.0,2.0,0.3979,0.0,
P2,3.0,2.0,0.5471,1.0,
P2,4.0,2.0,0.5808,1.0,
P2,4.0,2.0,0.4607,1.0,
P2,3.0,2.0,0.8162,1.0,
P2,4.0,1.0,0.5539,1.0,
P2,4.0,2.0,0.4454,1.0,
P2,3.0,1.0,0.4776,1.0,
P2,4.0,2.0,0.5152,1.0,
P2,3.0,1.0,0.4465,0.0,
P2,4.0,2.0,0.7014,1.0,
P2,3.0,1.0,0.4855,1.0,
P2,3.0,1.0,0.4151,1.0,
P2,4.0,1.0,0.5492,1.0,
P2,3.0,2.0,0.6494,1.0,
P2,3.0,2.0,0.6769,1.0,
P2,4.0,2.0,0.5513,1.0,
P2,4.0,2.0,0.4292,1.0,
P2,4.0,1.0,0.4775,1.0,
P2,4.0,1.0,0.3858,1.0,
P2,4.0,2.0,0.5449,1.0,
P2,3.0,2.0,0.5526,1.0,
P2,3.0,1.0,0.6146,1.0,
P2,4.0,2.0,0.5312,1.0,
P2,3.0,2.0,0.6152,1.0,
P2,4.0,1.0,0.531,1.0,
P2,3.0,1.0,0.4879,1.0,
P2,4.0,1.0,0.5052,1.0,
P2,4.0,2.0,0.5972,1.0,
P2,3.0,2.0,0.597,1.0,
P2,4.0,2.0,0.5336,1.0,
P2,4.0,1.0,0.5184,1.0,
P2,4.0,2.0,0.6662,1.0,
P2,3.0,2.0,0.5989,1.0,
P2,4.0,2.0,0.5682,1.0,
P2,3.0,2.0,0.5486,1.0,
P2,3.0,1.0,0.5162,1.0,
P2,4.0,2.0,0.5316,1.0,
P2,4.0,2.0,0.6165,1.0,
P2,3.0,2.0,0.7163,1.0,
P2,4.0,2.0,0.5653,1.0,
P2,3.0,2.0,0.4318,1.0,
P2,3.0,1.0,0.4864,1.0,
P2,4.0,1.0,0.4163,1.0,
P2,4.0,2.0,0.5036,1.0,
P2,4.0,1.0,0.4833,1.0,
P2,4.0,2.0,0.5166,1.0,
P2,3.0,1.0,0.6488,1.0,
P2,4.0,2.0,0.4799,1.0,
P2,4.0,2.0,0.5147,1.0,
P2,4.0,1.0,0.447,1.0,
P2,3.0,1.0,0.4174,1.0,
P2,3.0,1.0,0.3618,1.0,
P2,3.0,2.0,0.5508,1.0,
P2,4.0,2.0,0.5647,1.0,
P2,3.0,2.0,0.6026,0.0,
P2,4.0,2.0,0.5337,1.0,
P2,4.0,2.0,0.4517,1.0,
P2,3.0,1.0,0.5204,1.0,
P2,4.0,1.0,0.6331,1.0,
P2,4.0,1.0,0.3494,1.0,
P2,3.0,2.0,0.5857,1.0,
P2,3.0,2.0,0.5375,1.0,
P2,4.0,1.0,1.0447,0.0,
P2,4.0,1.0,0.4994,0.0,
P2,4.0,1.0,0.4633,1.0,
P2,4.0,2.0,0.5187,1.0,
P2,4.0,2.0,0.5146,1.0,
P2,3.0,2.0,0.5134,1.0,
P2,4.0,2.0,0.5463,1.0,
P2,3.0,2.0,0.4844,1.0,
P2,4.0,2.0,0.78,1.0,
P2,3.0,1.0,0.6134,1.0,
P2,4.0,2.0,0.498,1.0,
P2,4.0,1.0,0.5826,1.0,
P2,4.0,2.0,0.8481,1.0,
P2,3.0,1.0,0.598,1.0,
P2,3.0,2.0,0.5482,1.0,
P2,3.0,2.0,0.5326,1.0,
P2,4.0,1.0,0.4827,1.0,
P2,4.0,1.0,0.3501,1.0,
P2,3.0,2.0,0.5144,1.0,
P2,3.0,1.0,0.4646,1.0,
P2,4.0,2.0,0.4779,1.0,
P2,3.0,2.0,0.5119,1.0,
P2,4.0,2.0,0.5122,1.0,
P2,3.0,2.0,0.4156,0.0,
P2,3.0,1.0,0.6598,1.0,
P2,4.0,1.0,0.4496,1.0,
P2,3.0,2.0,0.5502,1.0,
P2,4.0,1.0,0.4627,1.0,
P2,4.0,2.0,0.4918,1.0,
P2,3.0,2.0,0.4671,1.0,
P2,3.0,2.0,0.4521,1.0,
P2,3.0,1.0,0.5834,1.0,
P2,3.0,2.0,0.5353,1.0,
P2,3.0,2.0,0.6035,1.0,
P2,3.0,2.0,0.4635,1.0,
P2,4.0,1.0,0.5336,0.0,
P2,3.0,2.0,0.565,1.0,
P2,4.0,2.0,0.4979,1.0,
P2,3.0,2.0,0.6357,1.0,
P2,3.0,2.0,0.4808,1.0,
P2,4.0,1.0,0.3838,1.0,
P2,3.0,2.0,0.5514,1.0,
P2,4.0,1.0,0.4307,1.0,
P2,3.0,2.0,0.4666,1.0,
P2,4.0,2.0,0.566,1.0,
P2,3.0,1.0,0.4158,1.0,
P2,3.0,2.0,0.652,1.0,
P2,4.0,2.0,0.5115,1.0,
P2,3.0,1.0,0.6485,1.0,
P2,4.0,1.0,0.5123,1.0,
P2,3.0,1.0,0.5674,1.0,
P2,4.0,2.0,0.5859,1.0,
P2,4.0,1.0,0.4136,1.0,
P2,3.0,2.0,0.5173,1.0,
P2,3.0,1.0,0.6366,1.0,
P2,3.0,1.0,0.3848,1.0,
P2,3.0,2.0,0.4853,1.0,
P2,3.0,2.0,0.6145,1.0,
P2,4.0,2.0,0.532,1.0,
P2,4.0,1.0,0.4456,1.0,
P2,3.0,2.0,0.5022,1.0,
P2,4.0,1.0,0.5672,1.0,
P2,3.0,1.0,0.5043,1.0,
P2,3.0,1.0,0.4326,1.0,
P2,3.0,1.0,0.3679,1.0,
P2,4.0,1.0,0.4625,1.0,
P2,4.0,1.0,0.4027,1.0,
P2,3.0,1.0,0.4286,1.0,
P2,4.0,1.0,0.4532,1.0,
P2,4.0,1.0,0.381,1.0,
P2,3.0,2.0,0.4987,1.0,
P2,3.0,1.0,0.4271,1.0,
P2,4.0,2.0,0.6164,1.0,
P2,3.0,2.0,0.4967,1.0,
P2,3.0,1.0,0.3877,1.0,
P2,4.0,2.0,0.5035,1.0,
P2,4.0,1.0,0.4132,1.0,
P2,4.0,2.0,0.5708,1.0,
P2,4.0,1.0,0.483,1.0,
P2,4.0,2.0,0.5303,1.0,
P2,4.0,2.0,0.5669,1.0,
P2,3.0,1.0,0.5468,1.0,
P2,3.0,1.0,0.3826,1.0,
P2,4.0,1.0,0.4988,1.0,
P2,3.0,2.0,0.5826,1.0,
P2,4.0,1.0,0.4164,1.0,
P2,3.0,2.0,0.5031,1.0,
P2,3.0,2.0,0.6496,1.0,
P2,4.0,1.0,0.4676,1.0,
P2,4.0,1.0,0.5312,1.0,
P2,4.0,2.0,0.4828,1.0,
P2,4.0,1.0,0.4558,1.0,
P2,4.0,1.0,0.4704,1.0,
P2,3.0,1.0,0.4373,1.0,
P2,4.0,2.0,0.4664,1.0,
P2,3.0,1.0,0.7001,1.0,
P2,3.0,1.0,0.4196,1.0,
P2,3.0,2.0,0.5024,1.0,
P2,4.0,2.0,0.4659,1.0,
P2,4.0,2.0,0.514,1.0,
P2,3.0,2.0,0.4625,1.0,
P2,3.0,1.0,0.3514,1.0,
P2,3.0,2.0,0.4612,1.0,
P2,3.0,1.0,0.4329,1.0,
P2,4.0,2.0,0.4648,1.0,
P2,3.0,2.0,0.4773,1.0,
P2,3.0,1.0,0.5521,1.0,
P2,4.0,2.0,0.4628,1.0,
P2,3.0,2.0,0.5805,1.0,
P2,3.0,2.0,0.4982,1.0,
P2,4.0,2.0,0.4981,1.0,
P2,3.0,1.0,0.4306,1.0,
P2,3.0,2.0,0.4804,1.0,
P2,3.0,1.0,0.3908,1.0,
P2,3.0,1.0,0.5631,1.0,
P2,4.0,1.0,0.4706,1.0,
P2,4.0,1.0,0.4151,1.0,
P2,3.0,1.0,0.3509,1.0,
P2,4.0,2.0,0.5341,0.0,
P2,3.0,1.0,0.4313,1.0,
P2,3.0,2.0,0.7159,0.0,
P2,3.0,2.0,0.5327,1.0,
P2,4.0,2.0,0.5675,1.0,
P2,3.0,2.0,0.4159,1.0,
P2,4.0,2.0,0.5315,1.0,
P2,4.0,1.0,0.4313,1.0,
P2,4.0,2.0,0.7144,1.0,
P2,4.0,1.0,0.4692,1.0,
P2,4.0,2.0,0.5357,1.0,
P2,4.0,1.0,0.4137,1.0,
P2,4.0,2.0,0.5837,1.0,
P2,4.0,1.0,0.3627,1.0,
P2,4.0,2.0,0.4352,1.0,
P2,3.0,2.0,0.5136,1.0,
P2,4.0,2.0,0.8105,1.0,
P2,4.0,2.0,0.5855,1.0,
P2,4.0,1.0,0.5508,1.0,
P2,3.0,1.0,0.4475,1.0,
P2,4.0,2.0,0.5662,1.0,
P2,4.0,1.0,0.5026,1.0,
P2,4.0,2.0,0.4847,1.0,
P2,4.0,2.0,0.6113,1.0,
P2,4.0,1.0,0.3968,0.0,
P2,4.0,2.0,0.6271,1.0,
P2,3.0,1.0,0.4803,1.0,
P2,4.0,2.0,0.5031,1.0,
P2,3.0,1.0,0.8847,1.0,
P2,4.0,1.0,0.3845,1.0,
P2,3.0,1.0,0.4162,1.0,
P2,4.0,2.0,0.5147,1.0,
P2,3.0,1.0,0.5175,1.0,
P2,3.0,2.0,0.4152,0.0,
P2,3.0,1.0,0.4169,1.0,
P2,4.0,1.0,0.6524,1.0,
P2,4.0,1.0,0.4326,1.0,
P2,3.0,2.0,0.6152,1.0,
P2,3.0,1.0,0.696,1.0,
P2,4.0,1.0,0.6184,1.0,
P2,3.0,2.0,0.5142,1.0,
P2,3.0,1.0,0.614,1.0,
P2,3.0,2.0,0.5979,1.0,
P2,4.0,1.0,0.5827,1.0,
P2,3.0,2.0,0.6189,1.0,
P2,3.0,2.0,0.7147,1.0,
P2,4.0,2.0,0.5327,1.0,
P2,3.0,1.0,0.5506,1.0,
P2,4.0,1.0,0.4503,1.0,
P2,4.0,1.0,0.3653,1.0,
P2,3.0,1.0,0.4167,1.0,
P2,3.0,1.0,0.3499,1.0,
P2,3.0,1.0,0.3319,1.0,
P2,3.0,1.0,0.4322,1.0,
P2,4.0,1.0,0.3827,1.0,
P2,4.0,1.0,0.6003,1.0,
P2,3.0,2.0,0.3524,0.0,
P2,3.0,1.0,0.5158,1.0,
P2,4.0,2.0,0.6315,1.0,
P2,3.0,2.0,0.505,0.0,
P2,4.0,1.0,0.4312,1.0,
P2,4.0,2.0,0.6018,1.0,
P2,3.0,2.0,0.3649,1.0,
P2,4.0,2.0,0.4156,1.0,
P2,3.0,1.0,0.5144,1.0,
P2,3.0,1.0,0.4658,1.0,
P2,4.0,2.0,0.4978,1.0,
P2,3.0,2.0,0.5495,1.0,
P2,4.0,2.0,0.4983,1.0,
P2,3.0,2.0,0.5143,1.0,
P2,4.0,1.0,0.5981,1.0,
P2,3.0,1.0,0.4676,1.0,
P2,4.0,1.0,0.4326,1.0,
P2,3.0,1.0,0.416,1.0,
P2,4.0,1.0,0.4039,1.0,
P2,4.0,2.0,0.5308,1.0,
P2,3.0,1.0,0.447,1.0,
P2,3.0,2.0,0.4997,1.0,
P2,4.0,1.0,0.5492,1.0,
P2,4.0,1.0,0.6218,1.0,
P2,4.0,1.0,0.4501,1.0,
P2,3.0,2.0,0.482,1.0,
P2,3.0,2.0,0.5854,1.0,
P2,4.0,2.0,0.4648,1.0,
P2,4.0,1.0,0.6513,1.0,
P2,4.0,2.0,0.8966,1.0,
P2,4.0,2.0,0.5043,1.0,
P2,3.0,1.0,0.448,1.0,
P2,4.0,2.0,0.4506,1.0,
P2,4.0,2.0,0.5818,1.0,
P2,4.0,1.0,0.4982,1.0,
P2,4.0,1.0,0.4997,1.0,
P2,4.0,1.0,0.4654,1.0,
P2,3.0,2.0,0.433,1.0,
P2,3.0,2.0,0.4996,1.0,
P2,3.0,1.0,0.4483,1.0,
P2,3.0,1.0,0.6313,1.0,
P2,4.0,1.0,0.3879,0.0,
P2,3.0,2.0,0.3986,1.0,
P2,3.0,1.0,0.415,1.0,
P2,4.0,2.0,0.8322,1.0,
P2,3.0,2.0,0.4818,1.0,
P2,3.0,2.0,0.4556,1.0,
P2,4.0,1.0,0.365,0.0,
P2,3.0,2.0,0.4806,1.0,
P2,4.0,1.0,0.3853,1.0,
P2,3.0,2.0,0.4322,1.0,
P2,4.0,1.0,0.465,1.0,
P2,3.0,2.0,0.6162,1.0,
P2,4.0,2.0,0.4984,1.0,
P2,4.0,1.0,0.4661,0.0,
P2,3.0,2.0,0.467,1.0,
P2,3.0,2.0,0.5496,1.0,
P2,3.0,1.0,0.5145,1.0,
P2,3.0,1.0,0.4004,1.0,
P2,4.0,1.0,0.3827,1.0,
P2,3.0,1.0,0.4218,1.0,
P2,3.0,1.0,0.4172,1.0,
P2,3.0,2.0,0.5162,1.0,
P2,3.0,1.0,0.5005,1.0,
P2,3.0,2.0,0.5644,1.0,
P2,3.0,1.0,0.532,1.0,
P2,3.0,2.0,0.53,1.0,
P2,4.0,1.0,0.4821,1.0,
P2,4.0,2.0,0.4376,1.0,
P2,4.0,1.0,0.5317,1.0,
P2,4.0,1.0,0.5143,1.0,
P2,3.0,2.0,0.4989,1.0,
P2,3.0,1.0,0.4832,1.0,
P2,4.0,1.0,0.4995,1.0,
P2,3.0,1.0,0.8055,1.0,
P2,4.0,1.0,0.4976,1.0,
P2,3.0,2.0,0.5987,1.0,
P2,4.0,2.0,0.599,1.0,
P2,4.0,2.0,0.4819,1.0,
P2,3.0,2.0,0.5816,1.0,
P2,4.0,2.0,0.5156,1.0,
P2,4.0,2.0,0.4993,1.0,
P2,3.0,2.0,0.6315,1.0,
P2,3.0,2.0,0.5362,1.0,
P2,4.0,1.0,0.4162,1.0,
P2,3.0,1.0,0.467,1.0,
P2,4.0,2.0,0.615,1.0,
P2,4.0,2.0,0.4994,1.0,
P2,4.0,2.0,0.482,1.0,
P2,3.0,1.0,0.4525,1.0,
P2,3.0,2.0,0.4863,1.0,
P2,3.0,1.0,0.4511,1.0,
P2,3.0,1.0,0.4708,1.0,
P2,4.0,1.0,0.3995,1.0,
P2,4.0,1.0,0.5122,1.0,
P2,3.0,1.0,0.5682,1.0,
P2,3.0,2.0,0.4012,0.0,
P2,3.0,2.0,0.5651,1.0,
P2,4.0,1.0,0.5155,1.0,
P2,3.0,1.0,0.6707,1.0,
P2,3.0,1.0,0.3989,1.0,
P2,3.0,2.0,0.5984,1.0,
P2,3.0,1.0,0.5489,1.0,
P2,4.0,2.0,0.5483,1.0,
P2,4.0,1.0,0.6327,1.0,
P2,3.0,1.0,0.4828,1.0,
P2,4.0,2.0,0.5318,1.0,
P2,3.0,1.0,0.4325,1.0,
P2,4.0,1.0,0.4327,1.0,
P2,3.0,1.0,0.4317,1.0,
P2,4.0,2.0,0.5172,1.0,
P2,4.0,2.0,0.5555,1.0,
P2,4.0,2.0,0.5032,1.0,
P2,3.0,2.0,0.4353,1.0,
P2,4.0,1.0,0.4118,1.0,
P2,3.0,1.0,0.3802,1.0,
P2,3.0,2.0,0.4299,1.0,
P2,4.0,2.0,0.4481,0.0,
P2,4.0,2.0,0.4332,1.0,
P2,3.0,1.0,0.4169,0.0,
P2,4.0,1.0,0.4153,1.0,
P2,4.0,2.0,0.3641,0.0,
P2,4.0,2.0,0.5483,1.0,
P2,4.0,2.0,0.4306,1.0,
P2,4.0,1.0,0.499,0.0,
P2,4.0,1.0,0.5158,1.0,
P2,4.0,2.0,0.4974,1.0,
P2,4.0,1.0,0.4491,1.0,
P2,4.0,1.0,0.3864,1.0,
P2,4.0,1.0,0.4497,1.0,
P2,4.0,2.0,0.4834,1.0,
P2,4.0,1.0,0.4994,1.0,
P2,4.0,1.0,0.6505,1.0,
P2,3.0,1.0,0.9664,0.0,
P2,4.0,1.0,0.5029,1.0,
P2,4.0,1.0,0.6661,1.0,
P2,3.0,2.0,0.6003,1.0,
P2,3.0,1.0,,0.0,
P2,3.0,2.0,0.7152,1.0,
P2,3.0,1.0,0.5803,1.0,
P2,4.0,1.0,0.4657,1.0,
P2,4.0,2.0,0.5146,1.0,
P2,4.0,1.0,0.5164,1.0,
P2,3.0,2.0,0.4817,1.0,
P2,3.0,2.0,0.6988,1.0,
P2,4.0,1.0,0.5491,1.0,
P2,4.0,1.0,0.4818,1.0,
P2,3.0,1.0,0.5166,1.0,
P2,4.0,1.0,0.6006,1.0,
P2,3.0,1.0,0.366,1.0,
P2,4.0,1.0,0.3653,1.0,
P2,4.0,2.0,0.4853,1.0,
P2,3.0,1.0,0.4506,1.0,
P2,3.0,1.0,0.433,1.0,
P2,3.0,1.0,0.5189,1.0,
P2,4.0,2.0,0.5322,1.0,
P2,4.0,1.0,0.4325,1.0,
P2,4.0,1.0,0.4815,1.0,
P2,4.0,1.0,0.3995,1.0,
P2,4.0,1.0,0.3818,1.0,
P2,4.0,2.0,0.3822,0.0,
P2,4.0,1.0,0.3509,1.0,
P2,4.0,1.0,0.4016,1.0,
P2,4.0,2.0,0.3654,1.0,
P2,3.0,1.0,0.4168,0.0,
P2,3.0,2.0,0.4986,0.0,
P2,4.0,2.0,0.6161,1.0,
P2,3.0,2.0,0.5338,1.0,
P2,3.0,2.0,0.4859,1.0,
P2,3.0,2.0,0.4672,1.0,
P2,3.0,1.0,0.471,1.0,
P2,3.0,2.0,0.5669,1.0,
P2,3.0,2.0,0.634,1.0,
P2,4.0,2.0,0.531,1.0,
P2,3.0,1.0,0.4814,1.0,
P2,3.0,1.0,0.3884,1.0,
P2,3.0,2.0,0.483,1.0,
P2,3.0,2.0,0.6243,1.0,
P2,3.0,1.0,0.4996,1.0,
P2,3.0,1.0,0.4824,1.0,
P2,4.0,2.0,0.5838,1.0,
P2,3.0,2.0,0.5153,1.0,
P2,4.0,1.0,0.4718,1.0,
P2,3.0,2.0,0.3997,0.0,
P2,3.0,2.0,0.5156,1.0,
P2,4.0,2.0,0.518,1.0,
P2,4.0,2.0,0.4323,1.0,
P2,4.0,1.0,0.6155,1.0,
P2,3.0,1.0,0.4662,1.0,
P2,3.0,2.0,0.6162,1.0,
P2,3.0,2.0,0.4323,1.0,
P2,3.0,2.0,0.5008,1.0,
P2,4.0,2.0,0.5496,1.0,
P2,3.0,1.0,0.5506,1.0,
P2,4.0,1.0,0.8342,1.0,
P2,3.0,1.0,0.4657,1.0,
P2,4.0,1.0,0.4649,1.0,
P2,4.0,1.0,0.5854,1.0,
P2,3.0,2.0,0.5646,1.0,
P2,3.0,1.0,0.8153,1.0,
P2,4.0,2.0,0.4708,1.0,
P2,4.0,1.0,0.3878,1.0,
P2,4.0,1.0,0.4652,1.0,
P2,3.0,1.0,0.3371,1.0,
P2,3.0,1.0,0.3491,1.0,
P2,3.0,2.0,0.5152,1.0,
P2,4.0,1.0,0.4507,1.0,
P2,4.0,1.0,0.4481,1.0,
P2,4.0,2.0,0.4659,1.0,
P2,4.0,2.0,0.5313,1.0,
P2,4.0,2.0,0.4808,1.0,
P2,3.0,1.0,0.4827,1.0,
P2,4.0,2.0,0.4954,1.0,
P2,4.0,2.0,0.5662,0.0,
P2,3.0,1.0,0.634,1.0,
P2,3.0,2.0,0.6329,1.0,
P2,3.0,1.0,0.5299,1.0,
P2,3.0,1.0,0.3994,1.0,
P2,3.0,1.0,0.4874,1.0,
P2,3.0,1.0,0.5506,1.0,
P2,3.0,2.0,0.5359,1.0,
P2,3.0,2.0,0.5012,0.0,
P2,4.0,2.0,0.5044,1.0,
P2,3.0,1.0,0.3875,1.0,
P2,4.0,2.0,0.4993,1.0,
P2,3.0,1.0,0.3666,1.0,
P2,3.0,2.0,0.4654,1.0,
P2,3.0,2.0,0.432,1.0,
P2,4.0,2.0,0.4664,1.0,
P2,4.0,1.0,0.3995,1.0,
P2,3.0,2.0,0.5022,1.0,
P2,4.0,1.0,0.3836,1.0,
P2,4.0,2.0,0.7321,1.0,
P2,3.0,2.0,0.8335,0.0,
P2,4.0,1.0,0.3982,1.0,
P2,4.0,1.0,0.4993,1.0,
P2,4.0,2.0,0.4683,1.0,
P2,4.0,2.0,0.5306,1.0,
P2,4.0,2.0,0.5667,1.0,
P2,3.0,2.0,0.5159,1.0,
P2,3.0,1.0,0.4369,1.0,
P2,3.0,2.0,0.6308,1.0,
P2,4.0,2.0,0.4849,1.0,
P2,4.0,1.0,0.5154,1.0,
P2,4.0,1.0,0.3322,1.0,
P2,4.0,1.0,0.4649,0.0,
P2,3.0,1.0,0.3824,1.0,
P2,4.0,2.0,0.5328,1.0,
P2,3.0,1.0,0.5323,1.0,
P2,3.0,2.0,0.615,1.0,
P2,4.0,1.0,0.4155,1.0,
P2,4.0,1.0,0.4505,1.0,
P2,3.0,2.0,0.498,1.0,
P2,3.0,2.0,0.4987,1.0,
P2,3.0,1.0,0.4827,1.0,
P2,3.0,1.0,0.567,1.0,
P2,4.0,1.0,0.416,1.0,
P2,3.0,2.0,0.5984,1.0,
P2,3.0,2.0,0.4324,1.0,
P2,3.0,1.0,0.5021,1.0,
P2,4.0,2.0,0.497,1.0,
P2,4.0,1.0,0.4621,1.0,
P2,3.0,2.0,0.5491,1.0,
P2,3.0,2.0,0.5488,1.0,
P2,3.0,1.0,0.47,1.0,
P2,3.0,1.0,0.3812,1.0,
P2,4.0,1.0,0.4663,1.0,
P2,4.0,2.0,0.562,1.0,
P2,4.0,2.0,0.5653,1.0,
P2,3.0,2.0,0.5878,1.0,
P2,4.0,1.0,0.5334,1.0,
P2,4.0,2.0,0.5149,1.0,
P2,4.0,1.0,0.598,1.0,
P2,3.0,1.0,0.4982,1.0,
P2,4.0,1.0,0.4358,1.0,
P2,3.0,1.0,0.3816,1.0,
P2,4.0,2.0,0.6012,1.0,
P2,3.0,2.0,0.4658,1.0,
P2,3.0,1.0,0.4656,1.0,
P2,3.0,1.0,0.3828,1.0,
P2,3.0,1.0,0.3488,1.0,
P2,4.0,2.0,0.4836,1.0,
P2,3.0,2.0,0.6126,1.0,
P2,3.0,2.0,0.5536,1.0,
P2,3.0,2.0,0.432,1.0,
P2,4.0,2.0,0.4307,1.0,
P2,3.0,1.0,0.4986,1.0,
P2,3.0,1.0,0.3824,1.0,
P2,3.0,1.0,0.4007,1.0,
P2,3.0,2.0,0.5322,1.0,
P2,4.0,2.0,0.5666,1.0,
P2,4.0,1.0,0.3991,1.0,
P2,3.0,2.0,0.4373,1.0,
P2,3.0,2.0,0.5033,1.0,
P2,4.0,2.0,0.4163,1.0,
P2,3.0,2.0,0.416,1.0,
P2,3.0,2.0,0.4806,1.0,
P2,3.0,2.0,0.482,1.0,
P2,4.0,2.0,0.5147,1.0,
P2,4.0,1.0,0.4324,1.0,
P2,3.0,2.0,0.5985,1.0,
P2,3.0,1.0,0.483,1.0,
P2,4.0,1.0,0.5008,1.0,
P2,4.0,1.0,0.416,1.0,
P2,4.0,1.0,0.4489,1.0,
P2,3.0,1.0,0.4726,1.0,
P2,4.0,2.0,0.5154,1.0,
P2,4.0,1.0,0.4656,1.0,
P2,3.0,1.0,0.5376,1.0,
P2,4.0,1.0,0.4005,1.0,
P2,4.0,2.0,0.4643,0.0,
P2,3.0,2.0,0.4518,1.0,
P2,4.0,1.0,0.4995,1.0,
P2,4.0,1.0,0.4709,1.0,
P2,3.0,2.0,0.6497,1.0,
P2,4.0,2.0,0.4661,1.0,
P2,3.0,1.0,0.4159,1.0,
P2,3.0,2.0,0.5828,1.0,
P2,4.0,2.0,0.5652,1.0,
